"Date","Close.Last","Company"
2020-09-23,249.02,"META"
2020-09-22,254.75,"META"
2020-09-21,248.15,"META"
2020-09-18,252.53,"META"
2020-09-17,254.82,"META"
2020-09-16,263.52,"META"
2020-09-15,272.42,"META"
2020-09-14,266.15,"META"
2020-09-11,266.61,"META"
2020-09-10,268.09,"META"
2020-09-09,273.72,"META"
2020-09-08,271.16,"META"
2020-09-04,282.73,"META"
2020-09-03,291.12,"META"
2020-09-02,302.5,"META"
2020-09-01,295.44,"META"
2020-08-31,293.2,"META"
2020-08-28,293.66,"META"
2020-08-27,293.22,"META"
2020-08-26,303.91,"META"
2020-08-25,280.82,"META"
2020-08-24,271.39,"META"
2020-08-21,267.01,"META"
2020-08-20,269.01,"META"
2020-08-19,262.59,"META"
2020-08-18,262.34,"META"
2020-08-17,261.16,"META"
2020-08-14,261.24,"META"
2020-08-13,261.3,"META"
2020-08-12,259.89,"META"
2020-08-11,256.13,"META"
2020-08-10,263,"META"
2020-08-07,268.44,"META"
2020-08-06,265.28,"META"
2020-08-05,249.12,"META"
2020-08-04,249.83,"META"
2020-08-03,251.96,"META"
2020-07-31,253.67,"META"
2020-07-30,234.5,"META"
2020-07-29,233.29,"META"
2020-07-28,230.12,"META"
2020-07-27,233.5,"META"
2020-07-24,230.71,"META"
2020-07-23,232.6,"META"
2020-07-22,239.87,"META"
2020-07-21,241.75,"META"
2020-07-20,245.42,"META"
2020-07-17,242.03,"META"
2020-07-16,240.93,"META"
2020-07-15,240.28,"META"
2020-07-14,239.73,"META"
2020-07-13,239,"META"
2020-07-10,245.07,"META"
2020-07-09,244.5,"META"
2020-07-08,243.58,"META"
2020-07-07,240.86,"META"
2020-07-06,240.28,"META"
2020-07-02,233.42,"META"
2020-07-01,237.55,"META"
2020-06-30,227.07,"META"
2020-06-29,220.64,"META"
2020-06-26,216.08,"META"
2020-06-25,235.68,"META"
2020-06-24,234.02,"META"
2020-06-23,242.24,"META"
2020-06-22,239.22,"META"
2020-06-19,238.79,"META"
2020-06-18,235.94,"META"
2020-06-17,235.53,"META"
2020-06-16,235.65,"META"
2020-06-15,232.5,"META"
2020-06-12,228.58,"META"
2020-06-11,224.43,"META"
2020-06-10,236.73,"META"
2020-06-09,238.67,"META"
2020-06-08,231.4,"META"
2020-06-05,230.77,"META"
2020-06-04,226.29,"META"
2020-06-03,230.16,"META"
2020-06-02,232.72,"META"
2020-06-01,231.91,"META"
